,id,label,alma,field,award,occupation
137,Q5386619,Eric Grimson,"'Massachusetts Institute of Technology', 'University of Regina'","'artificial intelligence', 'computer vision'","'IEEE Fellow', 'ACM Fellow', 'AAAI Fellow'",artificial intelligence researcher
138,Q5499948,Terry Bollinger,'Missouri University of Science and Technology',,,artificial intelligence researcher
139,Q5592974,Graham Kendall,'University of Nottingham',,,artificial intelligence researcher
140,Q5814314,Wally Feurzeig,"'University of Chicago', 'Illinois Institute of Technology'",'computer science',,artificial intelligence researcher
141,Q5880225,Holger H. Hoos,'Technische Universität Darmstadt',,,artificial intelligence researcher
142,Q6110605,Jacek M. Zurada,'Gdańsk University of Technology',,,artificial intelligence researcher
143,Q6173359,Jeff Black,,,,artificial intelligence researcher
144,Q6298326,João Pavão Martins,'Instituto Superior Técnico',,,artificial intelligence researcher
145,Q6300747,Juan Pavón,"'Technical University of Madrid', 'Pierre and Marie Curie University'",'computer science',,artificial intelligence researcher
146,Q7099202,Ora Lassila,'Helsinki University of Technology',,,artificial intelligence researcher
147,Q4815998,Cynthia Solomon,"'Harvard University', 'Boston University', 'Radcliffe College', 'Harvard Graduate School of Education'",'computer science','NCWIT Pioneer in Tech Award',artificial intelligence researcher
148,Q5307228,Drew McDermott,'Massachusetts Institute of Technology',,'AAAI Fellow',artificial intelligence researcher
149,Q5394208,Ernesto Morgado,"'University at Buffalo', 'University of Lisbon'",,,artificial intelligence researcher
150,Q6173703,Jeff Dean,"'University of Washington', 'University of Minnesota', 'The Paideia School'","'machine learning', 'compiler', 'computer architecture', 'distributed computing', 'information retrieval'","'honorary member', 'Mark Weiser Award', 'ACM Fellow', 'ACM Prize in Computing', 'AAAS Fellow'",artificial intelligence researcher
151,Q6283747,Joseph Halpern,"'Harvard University', 'University of Toronto'",,"'IEEE Fellow', 'Dijkstra Prize', 'Guggenheim Fellowship', 'Gödel Prize', 'ACM Fellow', 'AAAI Fellow', 'ACM - AAAI Allen Newell Award'",artificial intelligence researcher
