from,to,similarity
242715,209798,0.11538461538461539
242715,205700,0.1
242715,222208,0.09523809523809523
242715,217121,0.09375
242715,239850,0.09090909090909091
242715,246867,0.08695652173913043
242715,214616,0.08333333333333333
242715,213305,0.08108108108108109
242715,247799,0.08
242715,225307,0.08
242715,202675,0.0784313725490196
242715,237317,0.07407407407407407
242715,221148,0.06896551724137931
242715,229241,0.0684931506849315
242715,213790,0.06666666666666667
242715,243144,0.0625
242715,245107,0.061946902654867256
242715,249004,0.06060606060606061
242715,217709,0.058823529411764705
242715,199826,0.057692307692307696
242715,234512,0.05714285714285714
242715,235258,0.05555555555555555
242715,225325,0.05555555555555555
242715,225439,0.05555555555555555
242715,231815,0.05555555555555555
242715,234013,0.05555555555555555
242715,218880,0.05555555555555555
242715,235533,0.05263157894736842
242715,236088,0.05194805194805195
242715,230050,0.05172413793103448
242715,229664,0.05084745762711865
242715,231206,0.05
242715,235819,0.05
242715,223371,0.05
242715,225400,0.05
242715,217358,0.05
242715,218189,0.05
242715,202584,0.05
242715,215170,0.045454545454545456
242715,245201,0.045454545454545456
242715,203356,0.045454545454545456
242715,203185,0.043478260869565216
242715,239594,0.043478260869565216
242715,232785,0.043478260869565216
242715,202571,0.0425531914893617
242715,232036,0.041666666666666664
242715,224422,0.041666666666666664
242715,232834,0.041666666666666664
242715,213495,0.04081632653061224
242715,229031,0.04
242715,227198,0.0392156862745098
242715,215361,0.038461538461538464
242715,215368,0.038461538461538464
242715,215690,0.038461538461538464
242715,206331,0.03773584905660377
242715,229407,0.037037037037037035
242715,201142,0.037037037037037035
242715,221031,0.03636363636363636
242715,243450,0.03571428571428571
242715,243308,0.03529411764705882
242715,238773,0.034482758620689655
242715,245662,0.03225806451612903
242715,219751,0.032
242715,241727,0.03125
242715,215413,0.030434782608695653
242715,214937,0.02857142857142857
242715,200226,0.027777777777777776
242715,228050,0.027777777777777776
242715,244601,0.027777777777777776
242715,245899,0.0273972602739726
242715,202631,0.02702702702702703
242715,200303,0.02654867256637168
242715,241294,0.02631578947368421
242715,214974,0.025
242715,228261,0.024390243902439025
242715,222199,0.024390243902439025
242715,218350,0.024390243902439025
242715,211528,0.024096385542168676
242715,245306,0.023809523809523808
242715,210909,0.023809523809523808
242715,216843,0.023255813953488372
242715,223286,0.022222222222222223
242715,242907,0.022222222222222223
242715,210075,0.02127659574468085
242715,220162,0.02040816326530612
242715,209076,0.02040816326530612
242715,248940,0.02
242715,228411,0.02
242715,218732,0.0196078431372549
242715,233236,0.0196078431372549
242715,237453,0.0196078431372549
242715,207277,0.019230769230769232
242715,207737,0.019230769230769232
242715,229381,0.019230769230769232
242715,218644,0.018518518518518517
242715,203404,0.01818181818181818
242715,200350,0.01818181818181818
242715,221402,0.01775147928994083
242715,244482,0.017543859649122806
242715,243860,0.017241379310344827
242715,247839,0.01694915254237288
242715,199984,0.01694915254237288
242715,211899,0.016129032258064516
242715,216929,0.016129032258064516
242715,220635,0.015625
242715,210711,0.01529051987767584
242715,246723,0.014285714285714285
242715,239202,0.014285714285714285
242715,202805,0.014285714285714285
242715,234904,0.014285714285714285
242715,228432,0.014084507042253521
242715,241109,0.013888888888888888
242715,237207,0.013888888888888888
242715,247759,0.013513513513513514
242715,214090,0.013333333333333334
242715,225993,0.012903225806451613
242715,215621,0.012195121951219513
242715,224922,0.012121212121212121
242715,241091,0.011904761904761904
242715,211743,0.011627906976744186
242715,239945,0.010638297872340425
242715,209098,0.010416666666666666
242715,237859,0.0103397341211226
242715,239524,0.009771986970684038
242715,224099,0.009433962264150943
242715,241998,0.009174311926605505
242715,200665,0.00909090909090909
242715,237398,0.009009009009009009
242715,230525,0.008928571428571428
242715,241653,0.008695652173913044
242715,210147,0.008670520231213872
242715,218031,0.0084985835694051
242715,208054,0.008333333333333333
242715,217164,0.008298755186721992
242715,202854,0.00823045267489712
242715,230287,0.00819672131147541
242715,230296,0.00819672131147541
242715,221935,0.007905138339920948
242715,207101,0.007633587786259542
242715,219396,0.007462686567164179
242715,213998,0.007303712720632989
242715,211128,0.007211538461538462
242715,240586,0.007100591715976331
242715,207109,0.007067137809187279
242715,225548,0.006896551724137931
242715,200468,0.00676818950930626
242715,239957,0.006648936170212766
242715,222203,0.00644122383252818
242715,220913,0.006369426751592357
242715,213392,0.006289308176100629
242715,206459,0.006269592476489028
242715,215011,0.006134969325153374
242715,224023,0.005952380952380952
242715,239836,0.005607476635514018
242715,220367,0.005390835579514825
242715,200419,0.005305039787798408
242715,218711,0.005128205128205128
242715,235499,0.004672897196261682
242715,235991,0.0045871559633027525
242715,214712,0.0045662100456621
242715,241008,0.004545454545454545
242715,242535,0.0044444444444444444
242715,222553,0.00423728813559322
242715,227512,0.004132231404958678
242715,244382,0.00411522633744856
242715,217371,0.004048582995951417
242715,217342,0.004016064257028112
242715,245281,0.004
242715,204731,0.00392156862745098
242715,228790,0.00392156862745098
242715,203625,0.0037735849056603774
242715,208033,0.0035087719298245615
242715,247848,0.003436426116838488
242715,210765,0.003424657534246575
242715,207135,0.0033277870216306157
242715,230420,0.0033003300330033004
242715,205395,0.003293084522502744
242715,213233,0.0031847133757961785
242715,200933,0.0031746031746031746
242715,222865,0.003134796238244514
242715,245717,0.0031185031185031187
242715,245089,0.0030864197530864196
242715,218799,0.0030864197530864196
242715,241898,0.003067484662576687
242715,236706,0.0029850746268656717
242715,223065,0.002785515320334262
242715,206076,0.002770083102493075
242715,224033,0.002398081534772182
242715,203857,0.002398081534772182
242715,226475,0.0023603461841070024
242715,215565,0.002331002331002331
242715,202333,0.0021231422505307855
242715,227986,0.002061855670103093
242715,233332,0.002044989775051125
242715,214812,0.0020242914979757085
242715,231620,0.002
242715,204893,0.0019455252918287938
242715,206896,0.0018975332068311196
242715,246694,0.001893939393939394
242715,235468,0.0018867924528301887
242715,217237,0.001841620626151013
242715,232547,0.001838235294117647
242715,241992,0.0017857142857142857
242715,199855,0.0017574692442882249
242715,229929,0.0016806722689075631
242715,240542,0.0016501650165016502
242715,218295,0.0016339869281045752
242715,216376,0.0015132408575031526
242715,203561,0.001447178002894356
242715,219884,0.0013717421124828531
242715,237128,0.0013227513227513227
242715,232208,0.00130718954248366
242715,200384,0.0012903225806451613
242715,246325,0.0012300123001230013
242715,246318,0.0012285012285012285
242715,233094,0.0012121212121212121
242715,227730,0.0011876484560570072
242715,239782,0.0011750881316098707
242715,225265,0.001160092807424594
242715,229148,0.001128668171557562
242715,215537,0.0011160714285714285
242715,210377,0.0010940919037199124
242715,200044,0.0010905125408942203
242715,229785,0.0010695187165775401
242715,205505,0.0010427528675703858
242715,216410,0.0009861932938856016
242715,236493,0.0009212344541685859
242715,201380,0.0009157509157509158
242715,237498,0.0009099181073703367
242715,214730,0.00088261253309797
242715,200371,0.0008375209380234506
242715,216364,0.0007911392405063291
242715,224427,0.0007874015748031496
242715,199920,0.0007861635220125787
242715,226179,0.0007727975270479134
242715,242351,0.0007692307692307692
242715,236033,0.0007547169811320754
242715,201950,0.0007446016381236039
242715,234376,0.0007288629737609329
242715,225639,0.0006321112515802782
242715,245718,0.0005984440454817474
242715,227161,0.0005861664712778429
242715,218551,0.0005858230814294083
242715,241881,0.0005750431282346176
242715,228125,0.0005064573309698658
242715,214575,0.0005017561465127947
242715,214957,0.0004609356994699239
242715,242514,0.00044444444444444447
242715,232450,0.0004418912947414936
242715,200283,0.0004045307443365696
242715,214888,0.0003971405877680699
242715,244003,0.00039184952978056425
242715,214095,0.00037979491074819596
242715,207654,0.0003727171077152441
242715,232466,0.00036927621861152144
242715,208964,0.0003681885125184094
242715,214441,0.0003619254433586681
242715,248000,0.00033189512114171923
242715,243798,0.0003112356053532524
242715,240579,0.0002964719833975689
242715,219658,0.0002821670428893905
242715,238173,0.0002549069589599796
242715,206541,0.00025348542458808617
242715,243043,0.00024606299212598425
242715,219864,0.00024009603841536616
242715,245034,0.00023380874444704232
242715,207182,0.00022588660492432798
242715,224741,0.00020627062706270627
242715,219452,0.00019033117624666921
242715,209351,0.0001901863826550019
242715,241981,0.00018850141376060322
242715,206598,0.0001725327812284334
242715,240570,0.00015718327569946557
242715,221352,0.00013448090371167293
242715,241417,0.00013444474321054048
242715,229341,0.00011143923775561376
242715,204224,0.00010119409026512852
242715,212383,0.00007797270955165692
242715,209335,0.00006638783774812455
242715,224738,0.000045589240939138365
242715,199858,0.000011354604292040422
242715,199810,0.0
242715,199811,0.0
242715,199812,0.0
242715,199813,0.0
242715,199814,0.0
242715,199815,0.0
242715,199816,0.0
242715,199817,0.0
242715,199818,0.0
242715,199819,0.0
242715,199820,0.0
242715,199821,0.0
242715,199822,0.0
242715,199823,0.0
242715,199824,0.0
242715,199827,0.0
242715,199829,0.0
242715,199830,0.0
242715,199832,0.0
242715,199835,0.0
242715,199836,0.0
242715,199838,0.0
242715,199839,0.0
242715,199842,0.0
242715,199843,0.0
242715,199844,0.0
242715,199845,0.0
242715,199846,0.0
242715,199847,0.0
242715,199851,0.0
242715,199853,0.0
242715,199854,0.0
242715,199856,0.0
242715,199857,0.0
242715,199859,0.0
242715,199861,0.0
242715,199862,0.0
242715,199863,0.0
242715,199864,0.0
242715,199865,0.0
242715,199866,0.0
242715,199867,0.0
242715,199868,0.0
242715,199869,0.0
242715,199870,0.0
242715,199871,0.0
242715,199872,0.0
242715,199873,0.0
242715,199875,0.0
242715,199876,0.0
242715,199877,0.0
242715,199878,0.0
242715,199880,0.0
242715,199882,0.0
242715,199884,0.0
242715,199885,0.0
242715,199886,0.0
242715,199888,0.0
242715,199890,0.0
242715,199891,0.0
242715,199892,0.0
242715,199893,0.0
242715,199894,0.0
242715,199895,0.0
242715,199896,0.0
242715,199898,0.0
242715,199899,0.0
242715,199900,0.0
242715,199902,0.0
242715,199904,0.0
242715,199905,0.0
242715,199906,0.0
242715,199907,0.0
242715,199908,0.0
242715,199911,0.0
242715,199912,0.0
242715,199914,0.0
242715,199915,0.0
242715,199918,0.0
242715,199919,0.0
242715,199921,0.0
242715,199923,0.0
242715,199924,0.0
242715,199926,0.0
242715,199927,0.0
242715,199928,0.0
242715,199929,0.0
242715,199931,0.0
242715,199932,0.0
242715,199934,0.0
242715,199936,0.0
242715,199937,0.0
242715,199939,0.0
242715,199941,0.0
242715,199942,0.0
242715,199944,0.0
242715,199945,0.0
242715,199946,0.0
242715,199947,0.0
242715,199948,0.0
242715,199949,0.0
242715,199950,0.0
242715,199951,0.0
242715,199954,0.0
242715,199955,0.0
242715,199958,0.0
242715,199959,0.0
242715,199960,0.0
242715,199961,0.0
242715,199962,0.0
242715,199963,0.0
242715,199965,0.0
242715,199966,0.0
242715,199970,0.0
242715,199971,0.0
242715,199972,0.0
242715,199973,0.0
242715,199974,0.0
242715,199976,0.0
242715,199977,0.0
242715,199980,0.0
242715,199981,0.0
242715,199982,0.0
242715,199983,0.0
242715,199987,0.0
242715,199988,0.0
242715,199989,0.0
242715,199990,0.0
242715,199991,0.0
242715,199992,0.0
242715,199993,0.0
242715,199994,0.0
242715,199995,0.0
242715,199996,0.0
242715,199997,0.0
242715,200000,0.0
242715,200002,0.0
242715,200004,0.0
242715,200005,0.0
242715,200006,0.0
242715,200008,0.0
242715,200009,0.0
242715,200011,0.0
242715,200015,0.0
242715,200017,0.0
242715,200019,0.0
242715,200020,0.0
242715,200022,0.0
242715,200024,0.0
242715,200026,0.0
242715,200027,0.0
242715,200028,0.0
242715,200029,0.0
242715,200030,0.0
242715,200031,0.0
242715,200032,0.0
242715,200033,0.0
242715,200034,0.0
242715,200035,0.0
242715,200037,0.0
242715,200038,0.0
242715,200039,0.0
242715,200040,0.0
242715,200041,0.0
242715,200042,0.0
242715,200043,0.0
242715,200045,0.0
242715,200046,0.0
242715,200047,0.0
242715,200048,0.0
242715,200049,0.0
242715,200051,0.0
242715,200052,0.0
242715,200053,0.0
242715,200054,0.0
242715,200055,0.0
242715,200056,0.0
242715,200057,0.0
242715,200058,0.0
242715,200059,0.0
242715,200061,0.0
242715,200062,0.0
242715,200063,0.0
242715,200064,0.0
242715,200065,0.0
242715,200066,0.0
242715,200067,0.0
242715,200068,0.0
242715,200069,0.0
242715,200070,0.0
242715,200071,0.0
242715,200072,0.0
242715,200073,0.0
242715,200074,0.0
242715,200075,0.0
242715,200077,0.0
242715,200081,0.0
242715,200083,0.0
242715,200084,0.0
242715,200085,0.0
242715,200096,0.0
242715,200098,0.0
242715,200099,0.0
242715,200100,0.0
242715,200101,0.0
242715,200102,0.0
242715,200104,0.0
242715,200105,0.0
242715,200106,0.0
242715,200108,0.0
242715,200109,0.0
242715,200112,0.0
242715,200113,0.0
242715,200115,0.0
242715,200116,0.0
242715,200117,0.0
242715,200118,0.0
242715,200120,0.0
242715,200121,0.0
242715,200123,0.0
242715,200124,0.0
242715,200125,0.0
242715,200126,0.0
242715,200127,0.0
242715,200128,0.0
242715,200129,0.0
242715,200130,0.0
242715,200134,0.0
242715,200135,0.0
242715,200137,0.0
242715,200138,0.0
242715,200139,0.0
242715,200140,0.0
242715,200141,0.0
242715,200142,0.0
242715,200143,0.0
242715,200144,0.0
242715,200145,0.0
242715,200147,0.0
242715,200148,0.0
242715,200149,0.0
242715,200151,0.0
242715,200152,0.0
242715,200153,0.0
242715,200154,0.0
242715,200155,0.0
242715,200156,0.0
242715,200157,0.0
242715,200158,0.0
242715,200159,0.0
242715,200160,0.0
242715,200162,0.0
242715,200163,0.0
242715,200165,0.0
242715,200166,0.0
242715,200167,0.0
242715,200168,0.0
242715,200170,0.0
242715,200173,0.0
242715,200174,0.0
242715,200175,0.0
242715,200176,0.0
242715,200177,0.0
242715,200178,0.0
242715,200179,0.0
242715,200180,0.0
242715,200182,0.0
242715,200184,0.0
242715,200185,0.0
242715,200186,0.0
242715,200188,0.0
242715,200191,0.0
242715,200192,0.0
242715,200193,0.0
242715,200194,0.0
242715,200195,0.0
242715,200198,0.0
242715,200200,0.0
242715,200202,0.0
242715,200203,0.0
242715,200204,0.0
242715,200205,0.0
242715,200207,0.0
242715,200209,0.0
242715,200210,0.0
242715,200211,0.0
242715,200212,0.0
242715,200213,0.0
242715,200214,0.0
242715,200216,0.0
242715,200217,0.0
242715,200218,0.0
242715,200219,0.0
242715,200220,0.0
242715,200223,0.0
242715,200224,0.0
242715,200227,0.0
242715,200229,0.0
242715,200232,0.0
242715,200233,0.0
242715,200234,0.0
242715,200236,0.0
242715,200237,0.0
242715,200240,0.0
242715,200241,0.0
242715,200242,0.0
242715,200243,0.0
242715,200244,0.0
242715,200245,0.0
242715,200250,0.0
242715,200251,0.0
242715,200254,0.0
242715,200255,0.0
242715,200256,0.0
242715,200257,0.0
242715,200258,0.0
242715,200259,0.0
242715,200262,0.0
242715,200263,0.0
242715,200266,0.0
242715,200269,0.0
242715,200270,0.0
242715,200271,0.0
242715,200272,0.0
242715,200273,0.0
242715,200276,0.0
242715,200278,0.0
242715,200279,0.0
242715,200280,0.0
242715,200285,0.0
242715,200286,0.0
242715,200287,0.0
242715,200288,0.0
242715,200289,0.0
242715,200290,0.0
242715,200291,0.0
242715,200292,0.0
242715,200293,0.0
242715,200295,0.0
242715,200296,0.0
242715,200298,0.0
242715,200300,0.0
242715,200302,0.0
242715,200305,0.0
242715,200306,0.0
242715,200307,0.0
242715,200308,0.0
242715,200309,0.0
242715,200310,0.0
242715,200311,0.0
242715,200312,0.0
242715,200313,0.0
242715,200314,0.0
242715,200316,0.0
242715,200318,0.0
242715,200319,0.0
242715,200320,0.0
242715,200322,0.0
242715,200324,0.0
242715,200325,0.0
242715,200327,0.0
242715,200331,0.0
242715,200332,0.0
242715,200333,0.0
242715,200334,0.0
242715,200335,0.0
242715,200336,0.0
242715,200337,0.0
242715,200338,0.0
242715,200340,0.0
242715,200341,0.0
242715,200342,0.0
242715,200343,0.0
242715,200344,0.0
242715,200347,0.0
242715,200348,0.0
242715,200349,0.0
242715,200352,0.0
242715,200354,0.0
242715,200356,0.0
242715,200358,0.0
242715,200359,0.0
242715,200360,0.0
242715,200361,0.0
242715,200363,0.0
242715,200364,0.0
242715,200367,0.0
242715,200368,0.0
242715,200369,0.0
242715,200370,0.0
242715,200373,0.0
242715,200374,0.0
242715,200377,0.0
242715,200378,0.0
242715,200382,0.0
242715,200383,0.0
242715,200385,0.0
242715,200387,0.0
242715,200389,0.0
242715,200390,0.0
242715,200391,0.0
242715,200392,0.0
242715,200393,0.0
242715,200394,0.0
242715,200395,0.0
242715,200396,0.0
242715,200398,0.0
242715,200399,0.0
242715,200400,0.0
242715,200401,0.0
242715,200405,0.0
242715,200406,0.0
242715,200407,0.0
242715,200409,0.0
242715,200411,0.0
242715,200412,0.0
242715,200413,0.0
242715,200414,0.0
242715,200416,0.0
242715,200420,0.0
242715,200425,0.0
242715,200426,0.0
242715,200427,0.0
242715,200429,0.0
242715,200430,0.0
242715,200431,0.0
242715,200433,0.0
